20120402;4;1565;189;25748;25789;482408;;21769;460639;776006516;776488924
20120403;4;1566;189;25792;25822;404408;;31686;372722;776488924;776893332
20120404;4;1567;189;25825;25864;372142;;23549;348593;776893332;777265474
20120405;4;1568;189;25869;25899;604355;;30220;574135;777265474;777869829
20120407;4;1569;191;25902;25950;553123;14980;26460;511683;777869829;778422952
20120409;4;1570;191;25953;25995;511102;;26885;484217;778422952;778934054
20120410;4;1571;191;25998;26047;595970;;32205;563765;778934054;779530024
20120411;4;1572;191;26050;26086;415361;;36978;378383;779530024;779945385
20120412;4;1573;191;26089;26120;291491;;29854;261637;779945385;780236876
20120413;4;1574;191;26123;26154;386471;;14266;372205;780236876;780623347
20120414;4;1575;191;26157;26201;796399;;35480;760919;780623347;781419746
20120416;4;1576;191;26204;26234;340469;;19546;320923;781419746;781760215
20120417;4;1577;191;26237;26262;455395;;53865;401530;781760215;782215610
20120418;4;1578;191;25265;26297;365721;;23685;342036;782215610;782581331
20120419;4;1579;191;26300;26327;339752;;27178;312574;782581331;782921083
20120420;4;1580;192;26329;26356;442890;7740;41602;393548;782921083;783363973
20120423;4;1581;192;26359;26396;477177;;21151;456026;783363973;783841150
20120424;4;1582;193;26399;26426;329252;5200;14607;309445;783841150;784170402
20120425;4;1583;193;26429;26460;493953;;12471;481482;784170402;784664355
20120426;4;1584;193;26463;26489;432590;;27397;405193;784664355;785096945
20120427;4;1585;193;26492;26536;572150;;47782;524368;785096945;785669095
20120428;4;1586;193;26539;26581;656520;;27209;629311;785669095;786325615
20120430;4;1587;193;26584;26662;978678;;59955;918723;786325615;787304293
